N,S(r/min),ap(mm),ae(mm),F(mm/min),s(mm),MRR(mm3/min),G
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50035,6500,0,162.537917,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
